"case_id","county"
1475574,"Walker "
1493192,"Orleans "
1478538,"Sacramento "
1531191,"Los Angeles "
1479459,"Mercer "
1480641,"Cabarrus "
1481020,"York "
1504720,"Mecklenburg "
1484425,"Providence "
1486199,"Meigs "
1486425,"Hillsborough "
1486796,"Fort Bend "
1488844,"Allegheny "
1490187,"Williams "
1490741,NA
1494226,"Yakima "
1528169,"Kay "
1478819,"Westchester "
1454583,"Prince George's "
1454590,"Washington "
1454591,"Orange "
1455430,"Summit "
1455431,"Cuyahoga "
1515129,"Wayne "
1515135,NA
1515136,"Greene "
1402882,"Hartford "
1471220,"Lancaster "
1703291,"Fairfax "
1703294,"Philadelphia "
1703353,"Los Angeles "
1703354,"Contra Costa "
1703376,NA
1703378,"Macomb "
1703422,"Berrien "
1703493,"Los Angeles "
1703497,"Broward "
1703543,"Dougherty "
1703545,"San Francisco "
1703613,"Chattahoochee "
1703651,"Dallas "
1703653,"Dallas "
1703702,"Harris "
1703738,"Essex "
1703739,"Dukes "
1703746,"Monmouth "
1703751,"Somerset "
1703790,"Dupage "
1703791,"Dupage "
1703908,"Nassau "
1703949,"Douglas "
1704012,NA
1704063,"Umatilla "
1704078,"Macomb "
1704092,"Cumberland "
1704109,"Skagit "
1704186,"Orange "
1704200,"Summit "
1704212,"Salt Lake "
1704228,"Tarrant "
1704261,"New York "
1704524,"Orange "
1704654,"Essex "
1704656,"Essex "
1704658,"Essex "
1704660,"Essex "
1704703,"St Louis "
1704717,"Suffolk "
1704829,"Kent "
1705054,"Riverside "
1705080,"Jasper "
1705093,"Geary "
1705129,"Cameron "
1705142,"Cumberland "
1705311,"Fulton "
1705393,NA
1705401,"Iron "
1705425,"Orange "
1705429,NA
1705437,"Bernalillo "
1705472,"Hennepin "
1705574,"St Francis "
1705618,"Monroe "
1705656,"Kent "
1705686,"Delaware "
1705771,"Cook "
1705817,"Honolulu "
1705874,"St Clair "
1705883,"Maricopa "
1705892,"Bell "
1705911,"Duchesne "
1705969,"Luzerne "
1706002,"Rockland "
1706007,"Utah "
1706213,"Douglas "
1706289,"Los Angeles "
1706341,"Burke "
1706399,"Nassau "
1706427,"Dickinson "
1706428,"Barton "
1706606,"Clark "
1706616,"Tarrant "
1706630,"Ector "
1706659,"Douglas "
1706672,"Salem "
1706740,"Suffolk "
1706757,"Franklin "
1706802,"Jefferson "
1706815,NA
1706822,"Cook "
1706968,"Hidalgo "
1707022,"Cook "
1707036,"Orange "
1707135,"Hamilton "
1707156,"Dallas "
1707279,"Wichita "
1707281,"Bowie "
1707324,"Cook "
1707369,"Westmoreland "
1707384,"Philadelphia "
1707389,"Oklahoma "
1707400,"Wilkes "
1707450,"Genesee "
1707484,"El Paso "
1707552,"Sedgwick "
1707619,"Columbia "
1707703,"Hempstead "
1707824,"Oklahoma "
1707908,"Fort Bend "
1707959,"Tarrant "
1707961,"Dallas "
1708063,"Maui "
1708118,NA
1708119,"Los Angeles "
1708123,"Suffolk "
1708135,"Clark "
1708162,"Queens "
1708210,NA
1708223,"Frederick "
1708287,NA
1708303,"Santa Clara "
1708307,"Santa Clara "
1708387,"Des Moines "
1708389,"Washington "
1708390,"Henry "
1708392,"Rhea "
1708420,"Smith "
1708472,"Andrew "
1708473,"Newton "
1708537,"Bell "
1708539,"Clark "
1708585,"Milam "
1708586,"Williamson "
1708595,"Williamson "
1708597,"Williamson "
1708616,"Williamson "
1708635,"LaPorte "
1708711,"Clark "
1708732,"Clark "
1708777,"Cook "
1708826,"Brown "
1708827,"Brown "
1708828,"Brown "
1708829,"Brown "
1708888,"Muskogee "
1708892,NA
1708962,"Multnomah "
1709052,"Los Angeles "
1709083,"Daviess "
1709107,"Santa Clara "
1709210,"Palm Beach "
1709289,"Santa Clara "
1709315,"Guilford "
1709448,"Orange "
1709451,"Orange "
1709452,"Orange "
1709453,"Orange "
1709494,"San Joaquin "
1709536,"Pinellas "
1709547,"Middlesex "
1709555,"Miami-Dade "
1709655,NA
1709897,"Nassau "
1709910,"Harris "
1710020,"Hidalgo "
1710022,"Mecklenburg "
1710058,"Dallas "
1710067,"Tippecanoe "
1710073,"Alameda "
1710161,"McLennan "
1710176,"Santa Clara "
1710177,"Santa Clara "
1710207,"Los Angeles "
1710210,"Ada "
1710332,"Los Angeles "
1710356,"Westchester "
1710451,"Santa Clara "
1710452,"Santa Clara "
1710475,"Los Angeles "
1710514,"Custer "
1710585,"San Joaquin "
1710587,"Passaic "
1710688,"Milwaukee "
1710702,"Riverside "
1710739,"Greene "
1710798,NA
1710807,"Ector "
1710809,"Ector "
1710870,"Los Angeles "
1710971,"Santa Clara "
1710977,"San Francisco "
1711013,"San Francisco "
1711127,"Kent "
1711197,"Tulare "
1711274,"Los Angeles "
1711281,"Los Angeles "
1711283,"Riverside "
1711284,"Los Angeles "
1711367,"Cumberland "
1711379,"St Louis "
1711444,"Sussex "
1711559,"Nemaha "
1711571,"Hillsborough "
1711617,"Montgomery "
1711666,"Harris "
1711747,"Lyon "
1711827,"Cape Girardeau "
1711828,"Peoria "
1711832,NA
1711851,"Jay "
1711906,"Atascosa "
1711914,"Jim Wells "
1711918,"Madison "
1711932,"Pontotoc "
1711991,"Ulster "
1712013,"Fairfield "
1712099,"Cache "
1712101,"Davis "
1712103,"Salt Lake "
1712131,"Bergen "
1712171,"Wichita "
1712218,"Wake "
1712240,"Nassau "
1712253,"Summit "
1712254,"Salt Lake "
1712255,"Salt Lake "
1712257,"Utah "
1712384,"Clayton "
1712406,"Oakland "
1712435,"Salt Lake "
