State,State Name,County,NAICS3,Employees,Avg Weekly Pay,Establishments,WHD Office Name,Industry
CA,California,Lake County,115,0,0,5,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Lassen County,115,4,0,3,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Los Angeles County,115,417,606,96,Los Angeles,Support Activities for Agriculture and Forestry
CA,California,Madera County,115,0,0,24,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Marin County,115,45,598,10,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Mariposa County,115,0,0,1,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Mendocino County,115,110,483,14,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Merced County,115,1200,565,58,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Monterey County,115,1279,973,72,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Napa County,115,599,626,37,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Nevada County,115,0,0,7,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Orange County,115,147,686,32,San Diego,Support Activities for Agriculture and Forestry
CA,California,Placer County,115,0,0,6,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Plumas County,115,0,0,2,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Riverside County,115,1107,336,56,West Covina,Support Activities for Agriculture and Forestry
CA,California,Sacramento County,115,0,0,31,Sacramento,Support Activities for Agriculture and Forestry
CA,California,San Benito County,115,0,0,8,San Francisco,Support Activities for Agriculture and Forestry
CA,California,San Bernardino County,115,72,457,16,West Covina,Support Activities for Agriculture and Forestry
CA,California,San Diego County,115,551,518,99,San Diego,Support Activities for Agriculture and Forestry
CA,California,San Francisco County,115,0,0,1,San Francisco,Support Activities for Agriculture and Forestry
CA,California,San Joaquin County,115,1312,650,67,Sacramento,Support Activities for Agriculture and Forestry
CA,California,San Luis Obispo County,115,0,0,28,Los Angeles,Support Activities for Agriculture and Forestry
CA,California,San Mateo County,115,65,683,18,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Santa Barbara County,115,731,675,61,Los Angeles,Support Activities for Agriculture and Forestry
CA,California,Santa Clara County,115,101,957,19,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Santa Cruz County,115,0,0,12,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Shasta County,115,0,0,10,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Siskiyou County,115,78,459,11,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Solano County,115,0,0,9,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Sonoma County,115,813,484,68,San Francisco,Support Activities for Agriculture and Forestry
CA,California,Stanislaus County,115,988,424,58,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Sutter County,115,274,538,21,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Tehama County,115,123,548,11,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Tulare County,115,1311,674,93,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Tuolumne County,115,0,0,2,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Ventura County,115,523,801,62,Los Angeles,Support Activities for Agriculture and Forestry
CA,California,Yolo County,115,154,854,17,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Yuba County,115,0,0,4,Sacramento,Support Activities for Agriculture and Forestry
CA,California,Alameda County,211,0,0,1,San Francisco,Oil and Gas Extraction
CA,California,Contra Costa County,211,0,0,4,San Francisco,Oil and Gas Extraction
CA,California,Fresno County,211,0,0,1,Sacramento,Oil and Gas Extraction
CA,California,Inyo County,211,0,0,1,Sacramento,Oil and Gas Extraction
CA,California,Kern County,211,3319,3614,72,Sacramento,Oil and Gas Extraction
CA,California,Los Angeles County,211,1234,3371,63,Los Angeles,Oil and Gas Extraction
CA,California,Mono County,211,0,0,1,Sacramento,Oil and Gas Extraction
CA,California,Monterey County,211,0,0,1,San Francisco,Oil and Gas Extraction
CA,California,Nevada County,211,0,0,1,Sacramento,Oil and Gas Extraction
CA,California,Orange County,211,167,3008,19,San Diego,Oil and Gas Extraction
CA,California,Sacramento County,211,0,0,4,Sacramento,Oil and Gas Extraction
CA,California,San Diego County,211,0,0,8,San Diego,Oil and Gas Extraction
CA,California,San Francisco County,211,28,0,5,San Francisco,Oil and Gas Extraction
CA,California,San Joaquin County,211,0,0,2,Sacramento,Oil and Gas Extraction
CA,California,San Luis Obispo County,211,0,0,3,Los Angeles,Oil and Gas Extraction
CA,California,Santa Barbara County,211,359,1751,13,Los Angeles,Oil and Gas Extraction
