CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Atchison County,100,49,10,14,0,21862,10686,11176,9854,10386,471,413,66,66,45,62,5,6,245,243,10095,10615,607,546,153,161,71,95,11,14,10403,10897,9607,10149,455,406,58,59,45,62,5,6,233,215,9836,10351,583,529,141,139,71,90,11,12,283,279,247,237,16,7,8,7,0,0,0,0,12,28,259,264,24,17,12,22,0,5,0,2
Athens County,50,39,9,7,0,64722,32321,32401,29459,29687,875,849,121,103,1138,1039,12,7,716,716,30132,30349,1174,1169,411,386,1324,1238,46,39,31722,31770,28987,29182,855,818,70,75,1134,1017,9,5,667,673,29614,29805,1126,1113,338,344,1316,1204,40,33,599,631,472,505,20,31,51,28,4,22,3,2,49,43,518,544,48,56,73,42,8,34,6,6
Atkinson County,50,13,3,7,0,8203,4118,4085,3174,3155,715,752,70,35,39,28,50,29,70,86,3242,3235,760,807,90,59,45,37,51,33,3031,3200,2279,2387,666,725,28,11,12,15,11,3,35,59,2313,2443,690,765,37,23,15,23,11,5,1087,885,895,768,49,27,42,24,27,13,39,26,35,27,929,792,70,42,53,36,30,14,40,28
Atlantic County,50,34,1,7,0,275499,133133,142366,95403,100754,22356,25092,921,924,11008,12022,106,96,3339,3478,98200,103584,24245,27213,1810,1876,12194,13186,297,309,107891,116717,75445,80586,19013,21582,233,256,10753,11741,36,47,2411,2505,77385,82538,20214,22968,826,911,11854,12810,177,204,25242,25649,19958,20168,3343,3510,688,668,255,281,70,49,928,973,20815,21046,4031,4245,984,965,340,376,120,105
Atoka County,50,40,5,7,0,13848,7236,6612,5309,4989,383,161,1033,951,40,33,6,5,465,473,5756,5430,446,231,1427,1365,70,59,13,11,6957,6400,5122,4850,377,160,965,902,40,33,6,5,447,450,5551,5268,435,223,1346,1302,70,58,12,10,279,212,187,139,6,1,68,49,0,0,0,0,18,23,205,162,11,8,81,63,0,1,1,1
Attala County,50,28,7,7,0,19112,9020,10092,5230,5524,3676,4435,22,39,28,40,1,3,63,51,5287,5565,3713,4466,43,59,42,54,4,6,8844,9907,5086,5373,3653,4418,19,30,26,37,1,3,59,46,5140,5409,3687,4447,37,47,40,49,4,6,176,185,144,151,23,17,3,9,2,3,0,0,4,5,147,156,26,19,6,12,2,5,0,0
Audrain County,50,29,7,7,0,25935,11792,14143,10759,12630,646,1125,54,68,83,45,6,8,244,267,10992,12881,802,1301,111,129,120,84,16,21,11391,13829,10402,12358,635,1112,40,55,83,45,4,6,227,253,10619,12595,782,1282,91,109,116,83,14,19,401,314,357,272,11,13,14,13,0,0,2,2,17,14,373,286,20,19,20,20,4,1,2,2
Audubon County,50,19,9,7,0,5793,2810,2983,2754,2932,11,10,3,7,20,11,0,1,22,22,2775,2952,20,25,11,14,24,15,2,2,2787,2946,2733,2904,9,6,3,5,20,11,0,1,22,19,2754,2921,18,18,11,11,24,14,2,2,23,37,21,28,2,4,0,2,0,0,0,0,0,3,21,31,2,7,0,3,0,1,0,0
Auglaize County,50,39,11,7,0,45890,22772,23118,22196,22596,143,103,61,50,123,125,17,5,232,239,22416,22818,260,229,125,124,183,181,29,17,22421,22787,21897,22316,127,93,47,37,119,120,11,3,220,218,22108,22519,238,205,106,104,176,173,22,15,351,331,299,280,16,10,14,13,4,5,6,2,12,21,308,299,22,24,19,20,7,8,7,2
Augusta County,50,51,15,7,0,74159,37448,36711,34643,34839,2027,1032,102,88,201,276,14,10,461,466,35078,35271,2281,1297,247,236,298,374,25,24,36444,35895,33773,34118,1959,995,80,75,190,264,8,5,434,438,34185,34526,2197,1243,209,213,284,356,18,19,1004,816,870,721,68,37,22,13,11,12,6,5,27,28,893,745,84,54,38,23,14,18,7,5
