CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Labette County,50,20,99,1,0,21607,10697,10910,9460,9725,535,485,242,236,35,42,7,6,418,416,9865,10125,707,647,502,504,63,76,14,14,10250,10482,9095,9384,523,470,201,201,35,41,5,0,391,386,9474,9758,685,622,443,448,59,72,10,4,447,428,365,341,12,15,41,35,0,1,2,6,27,30,391,367,22,25,59,56,4,4,4,10
Lac qui Parle County,50,27,73,1,0,7259,3629,3630,3564,3570,13,4,9,9,13,19,6,1,24,27,3587,3596,24,11,17,22,19,28,8,5,3562,3589,3509,3534,13,4,5,5,10,19,1,1,24,26,3532,3559,24,10,13,17,16,28,3,5,67,41,55,36,0,0,4,4,3,0,5,0,0,1,55,37,0,1,4,5,3,0,5,0
Lackawanna County,50,42,69,1,0,214437,103119,111318,96383,104950,3277,2700,266,253,1807,1937,38,46,1348,1432,97656,106305,4081,3581,592,559,2124,2297,73,81,97717,106038,91935,100627,2730,2117,106,123,1774,1897,19,23,1153,1251,93029,101814,3378,2857,393,385,2063,2231,48,53,5402,5280,4448,4323,547,583,160,130,33,40,19,23,195,181,4627,4491,703,724,199,174,61,66,25,28
Laclede County,50,29,105,1,0,35571,17527,18044,16836,17434,155,89,142,106,56,105,6,12,332,298,17155,17719,239,166,315,282,127,156,35,31,17185,17667,16527,17092,152,87,135,96,50,98,5,11,316,283,16831,17363,231,161,298,260,120,148,31,30,342,377,309,342,3,2,7,10,6,7,1,1,16,15,324,356,8,5,17,22,7,8,4,1
Lafayette County,250,129,383,5,0,114083,57619,56464,47817,46801,8232,8106,265,215,613,635,59,42,633,665,48423,47411,8489,8404,518,513,774,767,79,69,55500,55041,45991,45587,8130,8040,143,143,604,629,34,29,598,613,46563,46149,8372,8314,382,423,755,747,52,53,2119,1423,1826,1214,102,66,122,72,9,6,25,13,35,52,1860,1262,117,90,136,90,19,20,27,16
Lafayette Parish,50,22,55,1,0,221578,108156,113422,77404,79435,27169,30392,397,423,1729,1659,59,49,1398,1464,78675,80754,28001,31257,852,946,2051,1972,131,103,103338,109643,73235,76220,26809,30076,330,366,1687,1630,31,26,1246,1325,74364,77410,27563,30861,685,802,1985,1921,92,73,4818,3779,4169,3215,360,316,67,57,42,29,28,23,152,139,4311,3344,438,396,167,144,66,51,39,30
Lafourche Parish,50,22,57,1,0,96318,47324,48994,38660,39642,6045,6782,1422,1395,348,384,30,23,819,768,39372,40305,6398,7097,1912,1863,430,462,60,52,45205,47466,36842,38307,5969,6730,1313,1325,342,379,15,11,724,714,37503,38938,6266,7019,1724,1751,420,450,43,37,2119,1528,1818,1335,76,52,109,70,6,5,15,12,95,54,1869,1367,132,78,188,112,10,12,17,15
Lake County,600,317,856,12,0,1876613,923407,953206,760885,773591,105266,119231,10346,9991,29290,32348,663,693,16957,17352,776294,789293,112624,127051,16660,16607,34416,37440,1572,1571,778601,815405,630721,650482,99945,113409,5552,5669,28287,31367,370,383,13726,14095,643164,663201,105838,119708,10309,10700,32743,35750,1081,1077,144806,137801,130164,123109,5321,5822,4794,4322,1003,981,293,310,3231,3257,133130,126092,6786,7343,6351,5907,1673,1690,491,494
Lake and Peninsula Borough,50,2,164,1,0,1631,859,772,229,154,5,4,540,524,3,3,3,2,79,85,297,225,15,11,615,605,9,14,7,2,837,751,221,141,5,4,528,516,3,3,3,2,77,85,287,212,15,11,601,597,9,14,7,2,22,21,8,13,0,0,12,8,0,0,0,0,2,0,10,13,0,0,14,8,0,0,0,0
Lake of the Woods County,50,27,77,1,0,4045,2068,1977,1998,1896,8,6,15,13,10,23,0,0,37,39,2033,1931,14,11,43,44,18,31,0,0,2054,1956,1988,1877,7,6,14,13,10,22,0,0,35,38,2021,1912,13,11,40,43,18,29,0,0,14,21,10,19,1,0,1,0,0,1,0,0,2,1,12,19,1,0,3,1,0,2,0,0
