CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Abbeville County,50,45,1,1,0,25417,12321,13096,8775,9022,3351,3853,28,34,27,50,1,4,139,133,8901,9141,3434,3935,82,79,47,72,7,7,12183,12979,8659,8928,3335,3831,26,33,27,50,1,4,135,133,8782,9047,3414,3913,77,78,44,72,6,7,138,117,116,94,16,22,2,1,0,0,0,0,4,0,119,94,20,22,5,1,3,0,1,0
Acadia Parish,50,22,1,1,0,61773,30161,31612,24286,25244,5374,5868,100,79,64,79,3,3,334,339,24603,25564,5608,6098,195,194,95,116,10,6,29490,31223,23705,24925,5330,5833,90,73,64,78,3,2,298,312,23988,25222,5538,6047,174,168,92,112,9,5,671,389,581,319,44,35,10,6,0,1,0,1,36,27,615,342,70,51,21,26,3,4,1,1
Accomack County,50,51,1,1,0,33164,16154,17010,11381,11505,4309,5060,102,94,86,102,30,23,246,226,11600,11708,4430,5173,220,205,117,130,46,38,14575,15739,9938,10356,4254,5015,52,45,80,97,23,14,228,212,10139,10545,4367,5122,166,152,110,125,33,22,1579,1271,1443,1149,55,45,50,49,6,5,7,9,18,14,1461,1163,63,51,54,53,7,5,13,16
Ada County,50,16,1,1,0,392365,196501,195864,182404,182022,2755,1879,1644,1508,4447,5216,490,425,4761,4814,186926,186616,3801,2978,3375,3254,6584,7286,880,853,182180,182280,169810,170163,2537,1680,1089,980,4272,5044,443,385,4029,4028,173665,174021,3418,2616,2374,2261,6206,6904,775,746,14321,13584,12594,11859,218,199,555,528,175,172,47,40,732,786,13261,12595,383,362,1001,993,378,382,105,107
Adair County,200,109,4,4,0,74628,36567,38061,29086,30625,549,449,5091,5180,321,337,9,15,1511,1455,30579,32063,712,604,6380,6408,411,432,28,37,35404,37084,28398,30017,533,427,4730,4918,319,334,7,11,1417,1377,29798,31378,683,565,5943,6089,404,426,21,26,1163,977,688,608,16,22,361,262,2,3,2,4,94,78,781,685,29,39,437,319,7,6,7,11
Adams County,600,364,16,12,0,786662,393428,393234,350906,350783,19336,18583,5832,5566,9141,9942,484,475,7729,7885,358083,358091,22175,21523,9296,9146,11335,12116,894,886,293268,300243,260193,266792,17412,16922,1700,1721,8439,9209,266,277,5258,5322,265070,271747,19546,19080,3575,3674,10149,10894,547,537,100160,92991,90713,83991,1924,1661,4132,3845,702,733,218,198,2471,2563,93013,86344,2629,2443,5721,5472,1186,1222,347,349
Addison County,50,50,1,1,0,36821,18364,18457,17617,17669,179,118,49,43,242,296,2,4,275,327,17885,17989,252,211,192,197,320,405,11,9,17958,18178,17265,17431,168,107,35,40,234,294,2,3,254,303,17513,17728,229,185,166,186,307,395,10,8,406,279,352,238,11,11,14,3,8,2,0,1,21,24,372,261,23,26,26,11,13,10,1,1
Aiken County,50,45,3,1,0,160099,77550,82549,56586,58713,18588,21172,426,434,624,784,43,43,1283,1403,57763,59989,19273,21907,945,1001,854,1065,83,97,73216,79059,52925,55804,18271,20879,293,310,588,750,27,28,1112,1288,53941,56969,18904,21583,711,806,791,1004,53,76,4334,3490,3661,2909,317,293,133,124,36,34,16,15,171,115,3822,3020,369,324,234,195,63,61,30,21
Aitkin County,50,27,1,1,0,16202,8205,7997,7871,7646,34,26,201,191,8,19,0,4,91,111,7956,7755,62,50,260,258,17,38,3,9,8123,7928,7809,7594,30,23,193,183,8,19,0,4,83,105,7887,7697,56,46,246,247,15,35,2,9,82,69,62,52,4,3,8,8,0,0,0,0,8,6,69,58,6,4,14,11,2,3,1,0
Alachua County,50,12,1,1,0,247336,119786,127550,86242,90127,23663,27135,426,414,6680,6865,82,73,2693,2936,88688,92730,25054,28621,1064,1196,7690,7980,164,206,109756,116828,77369,80686,23106,26507,302,306,6572,6733,73,60,2334,2536,79484,82922,24272,27737,836,959,7482,7738,149,177,10030,10722,8873,9441,557,628,124,108,108,132,9,13,359,400,9204,9808,782,884,228,237,208,242,15,29
Alamance County,50,37,1,1,0,151131,71890,79241,55289,60153,13318,15608,1041,1026,900,1025,47,53,1295,1376,56388,61333,14148,16474,1535,1553,1139,1274,95,105,63367,71125,48320,53553,12893,15185,259,290,859,989,30,26,1006,1082,49186,54510,13582,15894,573,641,1038,1180,69,64,8523,8116,6969,6600,425,423,782,736,41,36,17,27,289,294,7202,6823,566,580,962,912,101,94,26,41
Alameda County,50,6,1,1,0,1510271,740573,769698,400793,398814,93553,105762,9038,8697,193411,210284,7200,7563,36578,38578,431433,430796,104982,118494,18125,18673,215131,232675,11680,12393,567300,603082,256303,261199,86764,98561,1985,2263,188629,205423,6042,6356,27577,29280,279055,285124,95313,108165,6859,7997,206870,224197,9520,10068,173273,166616,144490,137615,6789,7201,7053,6434,4782,4861,1158,1207,9001,9298,152378,145672,9669,10329,11266,10676,8261,8478,2160,2325
Alamosa County,50,8,3,1,0,15445,7745,7700,6902,6922,133,71,411,387,90,101,10,21,199,198,7080,7115,182,102,528,513,140,150,22,29,4180,4155,3848,3862,102,39,71,68,55,76,3,3,101,107,3936,3968,131,59,121,129,84,101,12,9,3565,3545,3054,3060,31,32,340,319,35,25,7,18,98,91,3144,3147,51,43,407,384,56,49,10,20
Albany County,100,92,2,2,0,340503,165973,174530,134391,140585,19504,21179,548,556,7717,8192,88,88,3725,3930,137767,144077,21646,23601,1516,1719,8809,9151,219,206,157004,165380,128124,134309,17748,19320,321,339,7625,8101,57,59,3129,3252,130969,137215,19469,21265,1055,1207,8639,8980,164,158,8969,9150,6267,6276,1756,1859,227,217,92,91,31,29,596,678,6798,6862,2177,2336,461,512,170,171,55,48
Albemarle County,50,51,3,1,0,98970,47609,51361,39438,42469,4685,5083,197,183,2221,2452,38,34,1030,1140,40408,43530,5218,5656,464,475,2580,2884,65,64,44688,48865,36934,40361,4566,4972,74,76,2197,2431,24,18,893,1007,37777,41299,5026,5471,272,305,2534,2845,44,40,2921,2496,2504,2108,119,111,123,107,24,21,14,16,137,133,2631,2231,192,185,192,170,46,39,21,24
Alcona County,50,26,1,1,0,10942,5555,5387,5469,5279,5,8,35,32,5,20,1,0,40,48,5509,5327,11,12,66,68,10,28,1,1,5497,5321,5413,5216,5,8,33,29,5,20,1,0,40,48,5453,5264,11,12,64,65,10,28,1,1,58,66,56,63,0,0,2,3,0,0,0,0,0,0,56,63,0,0,2,3,0,0,0,0
Alcorn County,50,28,3,1,0,37057,18111,18946,15834,16419,2003,2244,61,42,55,68,7,5,151,168,15981,16581,2079,2327,123,122,70,88,11,7,17475,18572,15253,16084,1986,2230,33,29,55,67,3,2,145,160,15394,16238,2061,2311,90,104,70,86,7,4,636,374,581,335,17,14,28,13,0,1,4,3,6,8,587,343,18,16,33,18,0,2,4,3
Aleutians East Borough,50,2,13,1,0,3141,2093,1048,558,203,205,18,475,407,775,368,8,11,72,41,617,239,213,24,531,438,802,378,14,14,1782,974,285,141,197,17,466,404,758,362,8,11,68,39,340,175,204,23,519,433,784,372,14,14,311,74,273,62,8,1,9,3,17,6,0,0,4,2,277,64,9,1,12,5,18,6,0,0
Aleutians West Census Area,50,2,16,1,0,5561,3723,1838,1635,671,317,31,473,407,1059,610,87,20,152,99,1754,749,331,42,553,464,1124,659,119,35,3178,1657,1204,542,299,23,449,393,1006,593,82,20,138,86,1314,611,310,30,521,447,1065,633,112,33,545,181,431,129,18,8,24,14,53,17,5,0,14,13,440,138,21,12,32,17,59,26,7,2
Alexander County,100,54,6,2,0,45436,23006,22430,19648,19598,2764,2275,109,66,197,186,8,10,280,295,19915,19886,2929,2453,202,166,232,216,20,15,22039,21641,18802,18876,2699,2252,71,39,194,181,8,9,265,284,19055,19153,2858,2422,156,135,227,211,19,14,967,789,846,722,65,23,38,27,3,5,0,1,15,11,860,733,71,31,46,31,5,5,1,1
Alexandria city,50,51,510,1,0,139966,67262,72704,46125,48483,14633,16771,564,510,3941,4765,99,97,1900,2078,47799,50284,15493,17745,984,1007,4838,5756,207,200,55698,61744,36154,39035,13992,16090,145,182,3840,4667,48,63,1519,1707,37472,40492,14617,16850,422,538,4670,5566,138,153,11564,10960,9971,9448,641,681,419,328,101,98,51,34,381,371,10327,9792,876,895,562,469,168,190,69,47
Alfalfa County,50,40,3,1,0,5642,3323,2319,2888,2228,230,2,123,49,11,4,1,0,70,36,2950,2263,252,10,181,78,13,5,1,0,3164,2254,2753,2179,224,1,110,41,9,2,0,0,68,31,2813,2209,245,9,167,65,11,3,0,0,159,65,135,49,6,1,13,8,2,2,1,0,2,5,137,54,7,1,14,13,2,2,1,0
Alger County,50,26,3,1,0,9601,5224,4377,4290,4015,605,7,201,196,19,15,0,0,109,144,4399,4157,612,24,296,316,25,24,3,3,5165,4322,4242,3971,602,5,195,192,19,14,0,0,107,140,4349,4109,608,22,288,308,25,23,3,3,59,55,48,44,3,2,6,4,0,1,0,0,2,4,50,48,4,2,8,8,0,1,0,0
Allamakee County,50,19,5,1,0,14330,7310,7020,7130,6866,70,52,46,26,13,28,17,18,34,30,7164,6894,85,61,58,46,20,35,22,19,6885,6688,6756,6572,62,47,16,15,10,23,8,3,33,28,6789,6598,77,55,27,33,17,29,13,3,425,332,374,294,8,5,30,11,3,5,9,15,1,2,375,296,8,6,31,13,3,6,9,16
Allegan County,50,26,5,1,0,111408,55473,55935,53150,53635,764,677,373,349,294,407,14,16,878,851,54006,54454,1123,1030,800,776,438,539,55,36,51602,52352,49631,50393,689,588,283,261,254,371,9,12,736,727,50349,51091,993,898,620,598,383,495,38,30,3871,3583,3519,3242,75,89,90,88,40,36,5,4,142,124,3657,3363,130,132,180,178,55,44,17,6
Allegany County,100,60,4,2,0,124033,63538,60495,57011,57423,5066,1551,124,112,499,548,21,27,817,834,57800,58238,5538,2041,375,382,660,679,48,37,62458,59820,56116,56883,4973,1499,99,89,491,544,12,21,767,784,56861,57650,5409,1958,327,341,645,667,37,30,1080,675,895,540,93,52,25,23,8,4,9,6,50,50,939,588,129,83,48,41,15,12,11,7
Alleghany County,100,88,10,2,0,27405,13486,13919,12742,13232,470,456,51,31,51,44,6,9,166,147,12898,13374,563,537,126,100,61,55,9,10,12748,13477,12078,12837,447,440,23,20,48,42,6,7,146,131,12215,12965,532,510,80,79,58,52,9,8,738,442,664,395,23,16,28,11,3,2,0,2,20,16,683,409,31,27,46,21,3,3,0,2
Allegheny County,50,42,3,1,0,1223348,585650,637698,482275,520064,74885,88333,859,965,17372,17285,146,179,10113,10872,491327,529624,81629,95737,3405,3985,19838,19854,433,460,575974,628304,474871,513078,73698,87043,662,785,17260,17191,121,140,9362,10067,483273,521966,79964,93917,2848,3431,19618,19616,366,387,9676,9394,7404,6986,1187,1290,197,180,112,94,25,39,751,805,8054,7658,1665,1820,557,554,220,238,67,73
Allen County,200,98,10,4,0,494987,243181,251806,203590,210336,27151,28650,1106,1012,5313,5552,191,173,5830,6083,209092,216043,31084,32793,2582,2615,6292,6562,347,329,229519,239173,191984,199775,26410,27845,668,650,5160,5419,74,67,5223,5417,196923,204864,29970,31577,1883,1948,6057,6339,212,196,13662,12633,11606,10561,741,805,438,362,153,133,117,106,607,666,12169,11179,1114,1216,699,667,235,223,135,133
Allen Parish,50,22,3,1,0,25764,14490,11274,10024,8522,3902,2138,300,341,90,86,4,4,170,183,10173,8688,3998,2225,370,435,118,119,10,7,14319,11103,9897,8397,3881,2117,282,329,90,86,3,2,166,172,10042,8553,3974,2202,352,417,117,112,8,5,171,171,127,125,21,21,18,12,0,0,1,2,4,11,131,135,24,23,18,18,1,7,2,2
Allendale County,50,45,5,1,0,10419,5540,4879,1479,1110,3994,3701,13,7,27,23,1,1,26,37,1495,1136,4012,3732,28,20,30,27,3,1,5396,4784,1370,1043,3970,3682,12,7,22,19,1,1,21,32,1383,1066,3985,3711,23,17,24,21,2,1,144,95,109,67,24,19,1,0,5,4,0,0,5,5,112,70,27,21,5,3,6,6,1,0
Alpena County,50,26,7,1,0,29598,14524,15074,14186,14722,50,30,65,93,75,83,9,4,139,142,14325,14864,98,68,143,177,92,106,11,5,14364,14930,14043,14588,48,30,61,89,71,83,7,3,134,137,14177,14725,96,68,135,169,87,105,9,4,160,144,143,134,2,0,4,4,4,0,2,1,5,5,148,139,2,0,8,8,5,1,2,1
Alpine County,50,6,3,1,0,1175,606,569,471,425,0,0,113,130,1,6,0,0,21,8,492,432,1,0,131,134,5,11,0,0,557,534,445,408,0,0,96,114,1,6,0,0,15,6,460,413,1,0,110,118,3,9,0,0,49,35,26,17,0,0,17,16,0,0,0,0,6,2,32,19,0,0,21,16,2,2,0,0
Amador County,50,6,5,1,0,38091,20749,17342,18437,16130,949,68,481,323,227,227,50,37,605,557,19002,16657,1057,138,869,680,390,395,100,87,17603,15732,15703,14756,901,56,323,227,190,211,34,31,452,451,16127,15185,970,113,614,517,305,343,70,67,3146,1610,2734,1374,48,12,158,96,37,16,16,6,153,106,2875,1472,87,25,255,163,85,52,30,20
Amelia County,50,51,7,1,0,12690,6227,6463,4719,4758,1368,1575,47,31,12,16,2,4,79,79,4790,4830,1408,1616,89,73,20,27,3,6,6050,6350,4574,4668,1366,1570,20,19,11,16,0,0,79,77,4645,4738,1406,1610,62,61,19,26,1,2,177,113,145,90,2,5,27,12,1,0,2,4,0,2,145,92,2,6,27,12,1,1,2,4
Amherst County,50,51,9,1,0,32353,15452,16901,11919,13155,3017,3156,141,161,54,103,4,3,317,323,12205,13444,3230,3360,265,289,89,161,12,7,15107,16621,11612,12912,2987,3135,139,157,54,101,4,3,311,313,11894,13193,3196,3331,258,284,88,155,11,7,345,280,307,243,30,21,2,4,0,2,0,0,6,10,311,251,34,29,7,5,1,6,1,0
Amite County,50,28,5,1,0,13131,6374,6757,3730,3857,2602,2837,10,12,2,10,0,1,30,40,3750,3885,2617,2863,25,27,11,22,3,3,6315,6706,3690,3826,2583,2819,10,12,2,10,0,1,30,38,3710,3853,2598,2844,25,26,11,21,3,3,59,51,40,31,19,18,0,0,0,0,0,0,0,2,40,32,19,19,0,1,0,1,0,0
Anchorage Municipality,50,2,20,1,0,291826,148209,143617,102970,95561,9043,8082,11311,12564,11015,13019,3041,3056,10829,11335,112324,105395,12072,11183,17541,19326,14184,16183,4095,4119,137227,132538,95389,87903,8254,7211,10414,11713,10679,12701,2919,2905,9572,10105,103646,96688,10820,9833,15906,17781,13515,15549,3849,3827,10982,11079,7581,7658,789,871,897,851,336,318,122,151,1257,1230,8678,8707,1252,1350,1635,1545,669,634,246,292
Anderson County,250,181,17,5,0,350236,176565,173671,147078,147593,24980,21347,702,569,1334,1506,82,80,2389,2576,149300,149996,26303,22760,1602,1554,1750,1926,201,155,166118,167205,137846,141884,24427,20987,464,428,1192,1452,30,36,2159,2418,139902,144153,25650,22312,1247,1338,1515,1840,90,94,10447,6466,9232,5709,553,360,238,141,142,54,52,44,230,158,9398,5843,653,448,355,216,235,86,111,61
Andrew County,50,29,3,1,0,17291,8513,8778,8328,8575,36,37,19,33,30,46,1,1,99,86,8426,8658,71,66,79,87,40,53,3,4,8345,8656,8176,8470,36,35,17,29,29,46,0,0,87,76,8262,8543,70,64,65,73,39,53,2,3,168,122,152,105,0,2,2,4,1,0,1,1,12,10,164,115,1,2,14,14,1,0,1,1
Andrews County,50,48,3,1,0,14786,7368,7418,7028,7079,122,120,96,89,47,53,1,0,74,77,7098,7155,150,144,125,135,64,62,6,0,3713,3878,3474,3630,102,101,45,50,40,45,1,0,51,52,3521,3681,122,119,67,81,50,50,5,0,3655,3540,3554,3449,20,19,51,39,7,8,0,0,23,25,3577,3474,28,25,58,54,14,12,1,0
Androscoggin County,50,23,1,1,0,107702,52716,54986,49103,51347,2069,1930,218,220,338,453,19,21,969,1015,50047,52336,2471,2340,626,681,548,648,44,45,51885,54148,48422,50644,2017,1889,193,202,335,450,13,16,905,947,49307,51565,2391,2269,568,630,531,632,36,38,831,838,681,703,52,41,25,18,3,3,6,5,64,68,740,771,80,71,58,51,17,16,8,7
Angelina County,50,48,5,1,0,86771,42515,44256,35006,35929,6346,7060,322,300,396,472,17,9,428,486,35405,36384,6553,7299,502,498,480,564,34,31,33616,36010,26735,28238,6069,6826,133,123,333,419,3,6,343,398,27063,28613,6248,7034,265,277,394,488,13,20,8899,8246,8271,7691,277,234,189,177,63,53,14,3,85,88,8342,7771,305,265,237,221,86,76,21,11
Anne Arundel County,50,24,3,1,0,537656,265763,271893,207525,209685,41390,43678,1091,1017,8595,10106,302,304,6860,7103,213611,215904,44803,47460,2915,2996,11246,12636,692,687,248451,256303,193177,196914,39963,42246,697,685,8417,9942,189,215,6008,6301,198511,202433,42907,45591,2204,2366,10802,12231,531,550,17312,15590,14348,12771,1427,1432,394,332,178,164,113,89,852,802,15100,13471,1896,1869,711,630,444,405,161,137
Anoka County,50,27,3,1,0,330844,165327,165517,146226,146325,7609,7193,1282,1230,6330,6792,71,58,3809,3919,149830,150036,9327,9027,2603,2638,7524,7911,163,169,159017,159807,140809,141501,7411,6995,1018,987,6256,6726,56,44,3467,3554,144102,144878,8958,8637,2176,2233,7383,7776,135,137,6310,5710,5417,4824,198,198,264,243,74,66,15,14,342,365,5728,5158,369,390,427,405,141,135,28,32
Anson County,50,37,7,1,0,26948,14015,12933,6750,6250,6830,6290,128,66,139,157,11,5,157,165,6874,6386,6931,6398,191,137,167,177,12,8,13454,12682,6282,6079,6794,6262,105,44,131,152,2,2,140,143,6399,6201,6881,6351,165,109,149,166,3,5,561,251,468,171,36,28,23,22,8,5,9,3,17,22,475,185,50,47,26,28,18,11,9,3
Antelope County,50,31,3,1,0,6685,3329,3356,3290,3308,12,7,7,9,7,17,0,0,13,15,3303,3322,16,17,12,12,11,20,0,0,3235,3272,3202,3230,12,7,3,6,5,15,0,0,13,14,3215,3243,16,16,8,9,9,18,0,0,94,84,88,78,0,0,4,3,2,2,0,0,0,1,88,79,0,1,4,3,2,2,0,0
Antrim County,50,26,9,1,0,23580,11674,11906,11338,11573,27,21,126,118,19,30,4,5,160,159,11494,11727,63,47,233,234,35,43,13,19,11479,11697,11167,11389,21,14,116,108,17,30,4,4,154,152,11317,11538,56,38,217,219,33,41,13,16,195,209,171,184,6,7,10,10,2,0,0,1,6,7,177,189,7,9,16,15,2,2,0,3
Apache County,50,4,1,1,0,71518,35678,35840,8999,8563,123,59,25798,26544,97,126,18,8,643,540,9503,8976,280,204,26367,27013,153,175,40,32,33493,33912,7403,7187,114,43,25311,26078,81,109,17,7,567,488,7840,7552,252,181,25816,26498,129,155,37,29,2185,1928,1596,1376,9,16,487,466,16,17,1,1,76,52,1663,1424,28,23,551,515,24,20,3,3
Appanoose County,50,19,7,1,0,12887,6271,6616,6157,6476,35,29,14,19,15,22,1,0,49,70,6203,6544,54,51,37,54,24,37,2,3,6179,6527,6078,6394,30,25,12,18,14,21,0,0,45,69,6121,6461,46,46,35,53,22,36,0,3,92,89,79,82,5,4,2,1,1,1,1,0,4,1,82,83,8,5,2,1,2,1,2,0
Appling County,50,13,1,1,0,18236,9159,9077,7219,7179,1734,1717,36,41,62,73,34,1,74,66,7291,7241,1776,1761,60,63,72,80,35,2,8140,8392,6299,6566,1687,1678,20,20,56,69,10,1,68,58,6365,6620,1728,1719,39,37,66,76,11,2,1019,685,920,613,47,39,16,21,6,4,24,0,6,8,926,621,48,42,21,26,6,4,24,0
Appomattox County,50,51,11,1,0,14973,7290,7683,5709,5935,1423,1594,22,17,15,20,1,3,120,114,5820,6038,1514,1685,55,49,24,28,1,4,7196,7610,5634,5869,1417,1589,14,15,15,20,1,3,115,114,5740,5972,1504,1680,46,47,24,28,1,4,94,73,75,66,6,5,8,2,0,0,0,0,5,0,80,66,10,5,9,2,0,0,0,0
Aransas County,50,48,7,1,0,23158,11485,11673,10776,10986,184,143,98,127,235,242,12,8,180,167,10953,11149,234,182,211,233,263,279,15,12,8607,8861,8055,8327,149,114,53,66,220,228,2,3,128,123,8181,8448,184,140,132,143,238,254,4,6,2878,2812,2721,2659,35,29,45,61,15,14,10,5,52,44,2772,2701,50,42,79,90,25,25,11,6
Arapahoe County,50,8,5,1,0,572003,280345,291658,223032,230905,30080,30668,3214,3178,13709,16221,675,680,9635,10006,231473,239614,34893,35757,6154,6425,17135,19668,1322,1308,226970,239511,176746,185987,27888,28163,1166,1258,13158,15697,512,533,7500,7873,183327,192818,31715,32316,3061,3393,16041,18636,1007,1029,53375,52147,46286,44918,2192,2505,2048,1920,551,524,163,147,2135,2133,48146,46796,3178,3441,3093,3032,1094,1032,315,279
Archer County,50,48,9,1,0,9054,4563,4491,4436,4364,30,23,38,41,8,10,2,1,49,52,4481,4415,42,37,77,72,17,22,3,2,4191,4188,4103,4085,20,14,17,30,8,10,2,1,41,48,4143,4132,29,26,49,59,12,22,3,2,372,303,333,279,10,9,21,11,0,0,0,0,8,4,338,283,13,11,28,13,5,0,0,0
Archuleta County,50,8,7,1,0,12084,6103,5981,5756,5602,25,12,163,176,53,55,2,5,104,131,5859,5733,50,41,238,263,68,85,4,10,5008,4928,4793,4687,23,10,81,91,35,46,2,2,74,92,4866,4779,38,30,128,149,49,67,4,4,1095,1053,963,915,2,2,82,85,18,9,0,3,30,39,993,954,12,11,110,114,19,18,0,6
Arenac County,50,26,11,1,0,15899,8056,7843,7840,7612,18,12,81,110,6,23,5,5,106,81,7941,7692,47,33,147,159,21,36,8,7,7930,7744,7726,7521,18,11,74,109,6,23,5,5,101,75,7823,7595,46,32,137,153,19,35,8,7,126,99,114,91,0,1,7,1,0,0,0,0,5,6,118,97,1,1,10,6,2,1,0,0
Arkansas County,50,5,1,1,0,19019,9220,9799,6825,7129,2224,2481,22,19,41,51,1,1,107,118,6918,7234,2289,2551,75,72,47,62,5,6,8901,9605,6559,6967,2179,2458,16,17,41,51,1,1,105,111,6650,7065,2243,2523,68,68,47,62,5,6,319,194,266,162,45,23,6,2,0,0,0,0,2,7,268,169,46,28,7,4,0,0,0,0
Arlington County,50,51,13,1,0,207627,103501,104126,81312,79599,8859,9473,959,813,9273,11081,132,110,2966,3050,83998,82337,9719,10393,1614,1540,11099,12866,278,276,87377,88868,67243,66245,8323,8943,207,193,9110,10926,78,63,2416,2498,69436,68501,8998,9665,562,636,10758,12533,199,198,16124,15258,14069,13354,536,530,752,620,163,155,54,47,550,552,14562,13836,721,728,1052,904,341,333,79,78
Armstrong County,100,90,16,2,0,70842,34941,35901,34265,35266,326,240,35,35,50,105,4,5,261,250,34519,35514,462,360,122,129,99,145,8,10,34707,35645,34062,35040,318,234,28,26,48,99,3,5,248,241,34303,35279,451,352,109,115,92,136,7,10,234,256,203,226,8,6,7,9,2,6,1,0,13,9,216,235,11,8,13,14,7,9,1,0
Aroostook County,50,23,3,1,0,71870,35387,36483,33953,34971,279,193,579,654,123,191,7,5,446,469,34384,35424,365,297,895,983,184,252,19,21,35012,36191,33643,34733,261,181,562,634,123,189,6,5,417,449,34050,35168,340,276,859,951,177,243,12,16,375,292,310,238,18,12,17,20,0,2,1,0,29,20,334,256,25,21,36,32,7,9,7,5
Arthur County,50,31,5,1,0,460,228,232,223,223,0,0,1,1,0,1,0,0,4,7,224,225,0,0,2,3,3,6,3,5,217,224,215,220,0,0,1,1,0,1,0,0,1,2,216,222,0,0,2,3,0,1,0,0,11,8,8,3,0,0,0,0,0,0,0,0,3,5,8,3,0,0,0,0,3,5,3,5
Ascension Parish,50,22,5,1,0,107215,52947,54268,40269,40321,11381,12636,195,192,515,546,48,37,539,536,40757,40797,11669,12937,365,379,636,663,84,79,50163,52028,37750,38307,11266,12527,138,159,483,528,34,28,492,479,38198,38729,11531,12798,293,324,594,635,61,63,2784,2240,2519,2014,115,109,57,33,32,18,14,9,47,57,2559,2068,138,139,72,55,42,28,23,16
Ashe County,50,37,9,1,0,27281,13489,13792,13149,13475,113,87,39,37,42,64,10,2,136,127,13281,13599,176,125,109,118,50,75,16,6,12608,13362,12345,13081,79,70,27,29,41,64,4,1,112,117,12453,13195,119,103,95,104,48,75,10,5,881,430,804,394,34,17,12,8,1,0,6,1,24,10,828,404,57,22,14,14,2,0,6,1
Ashland County,100,94,8,2,0,69296,34054,35242,32200,33350,263,186,953,961,136,207,28,19,474,519,32647,33839,396,311,1253,1314,211,282,46,44,33650,34843,31876,33047,262,182,888,903,136,205,27,16,461,490,32312,33510,393,300,1177,1233,210,276,43,37,404,399,324,303,1,4,65,58,0,2,1,3,13,29,335,329,3,11,76,81,1,6,3,7
Ashley County,50,5,3,1,0,21853,10598,11255,7764,7999,2625,3064,70,60,19,28,12,4,108,100,7865,8094,2672,3102,126,119,27,35,22,8,10008,10776,7298,7610,2588,3033,22,31,15,25,1,1,84,76,7376,7682,2634,3070,61,69,23,32,4,2,590,479,466,389,37,31,48,29,4,3,11,3,24,24,489,412,38,32,65,50,4,3,18,6
Ashtabula County,50,39,7,1,0,101497,50693,50804,46963,48215,2393,1288,169,124,162,238,15,18,991,921,47922,49096,3020,1881,496,433,258,330,39,41,48870,49186,45377,46806,2288,1186,124,84,159,232,8,10,914,868,46263,47637,2873,1749,411,368,251,321,31,30,1823,1618,1586,1409,105,102,45,40,3,6,7,8,77,53,1659,1459,147,132,85,65,7,9,8,11
Asotin County,50,53,3,1,0,21623,10453,11170,9969,10622,54,41,146,164,46,79,16,23,222,241,10178,10853,115,99,273,324,89,117,39,40,10130,10850,9701,10348,51,39,125,148,41,73,14,22,198,220,9890,10561,103,89,231,289,82,107,36,39,323,320,268,274,3,2,21,16,5,6,2,1,24,21,288,292,12,10,42,35,7,10,3,1
Assumption Parish,50,22,7,1,0,23421,11456,11965,7852,8007,3406,3761,69,79,32,30,10,4,87,84,7929,8071,3456,3817,108,124,39,35,14,5,11161,11762,7611,7838,3376,3738,59,74,28,28,7,4,80,80,7682,7898,3422,3791,98,118,31,33,11,5,295,203,241,169,30,23,10,5,4,2,3,0,7,4,247,173,34,26,10,6,8,2,3,0
Atascosa County,50,48,13,1,0,44911,22130,22781,21338,22002,221,200,221,209,106,126,20,25,224,219,21556,22210,276,256,370,345,136,174,34,36,8320,8806,7929,8420,142,114,71,73,54,77,8,6,116,116,8039,8531,171,138,148,155,68,96,17,12,13810,13975,13409,13582,79,86,150,136,52,49,12,19,108,103,13517,13679,105,118,222,190,68,78,17,24
