CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Alamance County,50,37,1,4,0,152947,72825,80122,55896,60705,13503,15791,1053,1059,953,1102,47,54,1373,1411,57095,61926,14353,16706,1550,1564,1213,1372,121,116,63966,71688,48623,53824,13072,15348,264,304,908,1058,30,28,1069,1126,49564,54807,13765,16103,597,666,1108,1270,83,74,8859,8434,7273,6881,431,443,789,755,45,44,17,26,304,285,7531,7119,588,603,953,898,105,102,38,42
Alameda County,50,6,1,4,0,1533052,751407,781645,403716,401951,93110,105187,9178,8729,200383,218515,7251,7657,37769,39606,435313,434636,104786,118305,18784,19562,222849,241293,12075,12930,575269,611635,256881,261269,86227,97980,1984,2265,195531,213592,6099,6460,28547,30069,280347,285573,95088,108009,6349,7786,214716,232951,9897,10639,176138,170010,146835,140682,6883,7207,7194,6464,4852,4923,1152,1197,9222,9537,154966,149063,9698,10296,12435,11776,8133,8342,2178,2291
Alamosa County,50,8,3,4,0,16127,8121,8006,7173,7113,163,102,423,413,108,134,13,24,241,220,7398,7317,240,156,545,537,163,186,27,38,4377,4329,3967,3985,126,45,86,89,63,90,5,3,130,117,4084,4094,176,77,139,145,104,122,15,13,3744,3677,3206,3128,37,57,337,324,45,44,8,21,111,103,3314,3223,64,79,406,392,59,64,12,25
Albany County,100,92,2,8,0,341918,166886,175032,134353,140110,19792,21429,617,608,8165,8715,97,87,3862,4083,137795,143642,21760,23681,1523,1659,9600,10106,279,288,157547,165496,127815,133626,18013,19468,353,347,8067,8628,63,57,3236,3370,130682,136518,19561,21222,1046,1171,9448,9944,213,222,9339,9536,6538,6484,1779,1961,264,261,98,87,34,30,626,713,7113,7124,2199,2459,477,488,152,162,66,66
Albemarle County,50,51,3,4,0,100643,48250,52393,39929,43217,4765,5204,207,195,2232,2518,42,34,1075,1225,40928,44339,5299,5797,470,499,2653,3009,86,84,45258,49741,37384,40969,4625,5095,79,80,2206,2496,25,16,939,1085,38259,41970,5072,5609,283,318,2600,2956,59,60,2992,2652,2545,2248,140,109,128,115,26,22,17,18,136,140,2669,2369,227,188,187,181,53,53,27,24
Alcona County,50,26,1,4,0,10775,5452,5323,5362,5210,4,8,39,37,5,20,1,0,41,48,5399,5256,18,24,64,66,11,28,1,0,5393,5250,5305,5140,4,8,37,34,5,20,1,0,41,48,5342,5186,18,24,62,63,11,28,1,0,59,73,57,70,0,0,2,3,0,0,0,0,0,0,57,70,0,0,2,3,0,0,0,0
Alcorn County,50,28,3,4,0,37302,18373,18929,15938,16348,2137,2271,68,46,63,76,5,5,162,183,16089,16518,2222,2377,138,117,84,102,10,7,17701,18526,15336,15986,2109,2252,37,35,63,75,1,2,155,176,15481,16150,2191,2353,102,103,83,100,6,4,672,403,602,362,28,19,31,11,0,1,4,3,7,7,608,368,31,24,36,14,1,2,4,3
Aleutians East Borough,50,2,13,4,0,3254,2210,1044,585,202,258,20,425,371,860,398,8,11,74,42,648,236,270,30,468,392,885,416,14,14,1878,968,296,141,250,19,412,366,842,392,8,11,70,39,355,173,262,27,453,386,865,409,14,14,332,76,289,61,8,1,13,5,18,6,0,0,4,3,293,63,8,3,15,6,20,7,0,0
Aleutians West Census Area,50,2,16,4,0,5588,3767,1821,1618,632,348,38,451,395,1096,625,98,20,156,111,1734,725,380,52,532,458,1151,664,132,37,3184,1630,1152,499,328,29,428,378,1044,608,91,20,141,96,1256,578,356,39,500,433,1096,644,123,35,583,191,466,133,20,9,23,17,52,17,7,0,15,15,478,147,24,13,32,25,55,20,9,2
Alexander County,100,54,6,8,0,45135,22913,22222,19593,19430,2710,2203,107,73,205,188,9,14,289,314,19865,19716,2895,2409,197,169,239,229,15,20,21926,21407,18733,18693,2638,2177,73,44,202,185,9,13,271,295,18989,18964,2808,2369,159,137,235,221,15,18,987,815,860,737,72,26,34,29,3,3,0,1,18,19,876,752,87,40,38,32,4,8,0,2
Alexandria city,50,51,510,4,0,144579,69617,74962,47338,49940,15352,17108,580,545,4202,5038,125,107,2020,2224,49096,51849,16221,18118,1107,1171,5139,6054,251,236,57525,63421,36964,40043,14640,16385,148,187,4090,4939,62,68,1621,1799,38369,41595,15306,17171,509,632,4932,5844,158,162,12092,11541,10374,9897,712,723,432,358,112,99,63,39,399,425,10727,10254,915,947,598,539,207,210,93,74
Alfalfa County,50,40,3,4,0,5641,3336,2305,2879,2199,236,7,135,54,12,4,1,0,73,41,2938,2237,263,19,190,76,19,14,1,1,3154,2221,2725,2133,229,5,120,46,10,2,0,0,70,35,2781,2166,255,15,173,63,17,11,0,1,182,84,154,66,7,2,15,8,2,2,1,0,3,6,157,71,8,4,17,13,2,3,1,0
Alger County,50,26,3,4,0,9554,5226,4328,4282,3968,608,7,197,185,20,16,0,1,119,151,4397,4116,639,48,279,285,31,32,2,2,5167,4273,4234,3927,605,5,192,180,20,15,0,0,116,146,4346,4071,635,43,272,279,31,29,2,1,59,55,48,41,3,2,5,5,0,1,0,1,3,5,51,45,4,5,7,6,0,3,0,1
Allamakee County,50,19,5,4,0,14199,7297,6902,7071,6726,100,70,50,28,17,30,20,16,39,32,7109,6756,117,83,68,45,24,36,21,16,6864,6570,6697,6435,92,64,16,15,13,26,11,3,35,27,6731,6462,108,73,31,28,20,32,12,3,433,332,374,291,8,6,34,13,4,4,9,13,4,5,378,294,9,10,37,17,4,4,9,13
Allegan County,50,26,5,4,0,111530,55527,56003,53136,53653,766,711,386,344,313,420,15,17,911,858,54009,54466,1153,1064,815,772,453,548,41,48,51614,52373,49602,50393,674,607,292,253,269,385,9,12,768,723,50337,51084,1006,909,634,592,401,499,32,39,3913,3630,3534,3260,92,104,94,91,44,35,6,5,143,135,3672,3382,147,155,181,180,52,49,9,9
Allegany County,100,60,4,8,0,123417,63382,60035,56704,56891,5139,1559,131,121,538,585,23,30,847,849,57502,57682,5643,2089,367,335,694,743,54,58,62266,59318,55793,56323,5039,1503,103,94,530,580,12,24,789,794,56537,57068,5514,1997,310,288,679,729,40,51,1116,717,911,568,100,56,28,27,8,5,11,6,58,55,965,614,129,92,57,47,15,14,14,7
Alleghany County,100,88,10,8,0,27365,13463,13902,12704,13188,466,471,50,33,60,51,7,9,176,150,12870,13328,569,553,118,88,83,76,9,11,12720,13431,12043,12775,438,449,23,22,55,45,7,7,154,133,12187,12900,527,525,83,68,76,66,9,9,743,471,661,413,28,22,27,11,5,6,0,2,22,17,683,428,42,28,35,20,7,10,0,2
Allegheny County,50,42,3,4,0,1227677,588904,638773,483318,519282,75319,88515,919,987,18560,18395,136,205,10652,11389,492936,529434,82271,96131,3449,3899,21366,21250,403,482,578648,628714,475437,511720,74132,87211,678,790,18442,18290,116,157,9843,10546,484328,521135,80496,94189,2944,3423,21123,21027,345,399,10256,10059,7881,7562,1187,1304,241,197,118,105,20,48,809,843,8608,8299,1775,1942,505,476,243,223,58,83
Allen County,200,98,10,16,0,498260,244892,253368,204253,210831,27576,29120,1136,1027,5602,5850,210,199,6115,6341,210052,216850,31723,33452,2564,2594,6685,6908,414,372,230736,240196,192253,199827,26823,28282,689,670,5446,5719,74,75,5451,5623,197432,205182,30570,32167,1863,1961,6434,6661,248,224,14156,13172,12000,11004,753,838,447,357,156,131,136,124,664,718,12620,11668,1153,1285,701,633,251,247,166,148
Allen Parish,50,22,3,4,0,25724,14508,11216,10038,8470,3878,2111,305,345,98,84,4,5,185,201,10206,8643,3986,2221,380,427,125,117,10,14,14294,11031,9881,8334,3854,2089,280,333,96,84,3,2,180,189,10045,8496,3960,2193,353,410,121,116,9,10,214,185,157,136,24,22,25,12,2,0,1,3,5,12,161,147,26,28,27,17,4,1,1,4
Allendale County,50,45,5,4,0,10251,5438,4813,1466,1111,3903,3633,13,8,27,25,1,1,28,35,1488,1141,3921,3651,25,24,30,32,3,1,5277,4702,1344,1029,3875,3614,12,8,22,21,1,1,23,29,1362,1055,3890,3628,22,20,24,27,2,1,161,111,122,82,28,19,1,0,5,4,0,0,5,6,126,86,31,23,3,4,6,5,1,0
Alpena County,50,26,7,4,0,29342,14371,14971,14011,14596,54,39,65,86,80,93,10,4,151,153,14157,14744,118,95,138,164,100,116,13,8,14192,14814,13850,14449,52,39,61,82,76,93,7,3,146,148,13991,14592,114,92,132,158,95,116,10,7,179,157,161,147,2,0,4,4,4,0,3,1,5,5,166,152,4,3,6,6,5,0,3,1
Alpine County,50,6,3,4,0,1111,577,534,446,391,0,1,109,126,2,7,0,0,20,9,465,399,11,9,116,127,4,8,1,0,528,505,421,376,0,1,91,114,2,7,0,0,14,7,434,382,9,7,95,115,4,8,0,0,49,29,25,15,0,0,18,12,0,0,0,0,6,2,31,17,2,2,21,12,0,0,1,0
Amador County,50,6,5,4,0,37538,20292,17246,18047,16000,867,79,484,332,226,233,62,40,606,562,18605,16511,1020,201,821,651,381,373,100,89,17224,15579,15407,14588,819,65,322,223,183,217,41,33,452,453,15824,14998,916,156,567,477,307,342,74,76,3068,1667,2640,1412,48,14,162,109,43,16,21,7,154,109,2781,1513,104,45,254,174,74,31,26,13
Amelia County,50,51,7,4,0,12757,6231,6526,4749,4788,1331,1566,43,29,15,48,2,4,91,91,4833,4871,1384,1612,78,64,28,69,6,5,6053,6392,4601,4695,1327,1559,20,19,14,30,0,0,91,89,4685,4776,1380,1605,55,54,27,49,4,1,178,134,148,93,4,7,23,10,1,18,2,4,0,2,148,95,4,7,23,10,1,20,2,4
Amherst County,50,51,9,4,0,32119,15336,16783,11875,13069,2945,3113,128,161,63,106,4,3,321,331,12166,13357,3147,3318,237,274,121,178,18,14,14991,16487,11572,12817,2913,3090,124,155,63,102,4,3,315,320,11858,13096,3112,3286,229,265,119,172,17,14,345,296,303,252,32,23,4,6,0,4,0,0,6,11,308,261,35,32,8,9,2,6,1,0
Amite County,50,28,5,4,0,13176,6443,6733,3767,3831,2617,2834,17,14,3,10,0,2,39,42,3802,3863,2635,2860,33,37,11,15,1,4,6375,6674,3722,3793,2596,2815,16,14,3,10,0,2,38,40,3756,3824,2614,2840,31,36,11,15,1,3,68,59,45,38,21,19,1,0,0,0,0,0,1,2,46,39,21,20,2,1,0,0,0,1
Anchorage Municipality,50,2,20,4,0,296333,150566,145767,103820,96365,9360,8247,11454,12672,11635,13680,3168,3212,11129,11591,113447,106448,12453,11392,17892,19491,14926,17037,4237,4298,138893,134092,95742,88211,8540,7370,10481,11788,11289,13339,3026,3051,9815,10333,104220,97217,11152,10035,16170,17929,14210,16336,3958,3993,11673,11675,8078,8154,820,877,973,884,346,341,142,161,1314,1258,9227,9231,1301,1357,1722,1562,716,701,279,305
Anderson County,250,181,17,20,0,351704,177515,174189,147172,147528,25574,21683,718,590,1460,1627,79,82,2512,2679,149512,150034,27013,23228,1563,1499,1884,2043,210,176,166809,167368,137715,141560,25006,21268,481,439,1313,1561,30,36,2264,2504,139860,143912,26351,22731,1204,1269,1645,1940,105,121,10706,6821,9457,5968,568,415,237,151,147,66,49,46,248,175,9652,6122,662,497,359,230,239,103,105,55
Andrew County,50,29,3,4,0,17265,8522,8743,8307,8515,53,54,21,35,30,46,1,1,110,92,8417,8604,93,88,81,78,41,63,5,5,8343,8621,8146,8412,53,52,19,29,29,46,0,0,96,82,8242,8492,88,83,70,67,39,60,4,4,179,122,161,103,0,2,2,6,1,0,1,1,14,10,175,112,5,5,11,11,2,3,1,1
Andrews County,50,48,3,4,0,15393,7689,7704,7293,7320,137,129,110,109,61,58,1,0,87,88,7376,7403,171,164,155,154,74,72,2,1,3741,3914,3469,3651,111,107,50,54,51,47,1,0,59,55,3524,3704,136,131,78,82,63,54,1,0,3948,3790,3824,3669,26,22,60,55,10,11,0,0,28,33,3852,3699,35,33,77,72,11,18,1,1
Androscoggin County,50,23,1,4,0,107403,52601,54802,48866,51083,2135,1958,219,222,347,453,17,21,1017,1065,49851,52116,2600,2425,597,654,578,683,52,61,51753,53927,48173,50360,2084,1912,190,201,342,449,12,15,952,990,49096,51322,2513,2336,540,600,561,670,42,45,848,875,693,723,51,46,29,21,5,4,5,6,65,75,755,794,87,89,57,54,17,13,10,16
Angelina County,50,48,5,4,0,87325,42827,44498,35199,36090,6401,7077,323,306,402,488,18,12,484,525,35650,36576,6638,7341,508,491,489,583,37,41,33658,36026,26689,28196,6112,6836,128,125,338,432,3,7,388,430,27050,28598,6306,7060,268,267,412,506,20,32,9169,8472,8510,7894,289,241,195,181,64,56,15,5,96,95,8600,7978,332,281,240,224,77,77,17,9
Anne Arundel County,50,24,3,4,0,545084,269548,275536,209437,211363,42602,44786,1102,1048,8887,10594,304,320,7216,7425,215851,217889,46240,48826,2888,2970,11693,13337,685,674,251246,258835,194211,197707,41108,43262,697,678,8690,10416,207,219,6333,6553,199829,203451,44303,46837,2105,2232,11292,12960,542,523,18302,16701,15226,13656,1494,1524,405,370,197,178,97,101,883,872,16022,14438,1937,1989,783,738,401,377,143,151
Anoka County,50,27,3,4,0,332877,166344,166533,146538,146581,7917,7598,1295,1258,6448,6970,92,70,4054,4056,150399,150447,9749,9466,2670,2686,7699,8165,214,183,159948,160630,141118,141611,7707,7392,1003,993,6363,6888,71,51,3686,3695,144644,145145,9395,9105,2180,2220,7551,8018,169,144,6396,5903,5420,4970,210,206,292,265,85,82,21,19,368,361,5755,5302,354,361,490,466,148,147,45,39
Anson County,50,37,7,4,0,26517,13841,12676,6645,6076,6754,6204,129,71,146,153,11,5,156,167,6789,6228,6840,6296,187,135,171,179,19,11,13276,12422,6178,5903,6717,6176,103,47,138,148,2,2,138,146,6304,6037,6796,6258,153,101,161,170,8,8,565,254,467,173,37,28,26,24,8,5,9,3,18,21,485,191,44,38,34,34,10,9,11,3
Antelope County,50,31,3,4,0,6632,3286,3346,3246,3300,12,7,7,5,9,17,0,0,12,17,3257,3316,17,12,12,14,12,21,1,0,3193,3250,3160,3209,12,7,3,3,6,15,0,0,12,16,3171,3224,17,11,8,12,9,19,1,0,93,96,86,91,0,0,4,2,3,2,0,0,0,1,86,92,0,1,4,2,3,2,0,0
Antrim County,50,26,9,4,0,23379,11576,11803,11232,11454,31,34,129,123,20,32,4,5,160,155,11385,11598,80,71,228,227,37,52,9,11,11373,11585,11056,11261,25,26,115,114,18,32,4,4,155,148,11204,11398,72,60,211,214,35,52,9,10,203,218,176,193,6,8,14,9,2,0,0,1,5,7,181,200,8,11,17,13,2,0,0,1
Apache County,50,4,1,4,0,72387,36022,36365,8986,8542,190,149,26079,26953,112,144,22,8,633,569,9490,8990,435,367,26498,27323,203,229,59,41,33668,34329,7320,7129,178,122,25502,26433,97,128,21,7,550,510,7742,7525,399,327,25871,26766,179,200,54,36,2354,2036,1666,1413,12,27,577,520,15,16,1,1,83,59,1748,1465,36,40,627,557,24,29,5,5
Appanoose County,50,19,7,4,0,12857,6296,6561,6166,6412,36,33,15,18,18,24,2,0,59,74,6224,6485,59,59,42,54,30,39,3,3,6192,6466,6075,6325,31,29,13,17,17,23,1,0,55,72,6129,6396,52,54,39,52,28,38,2,3,104,95,91,87,5,4,2,1,1,1,1,0,4,2,95,89,7,5,3,2,2,1,1,0
Appling County,50,13,1,4,0,18440,9372,9068,7246,7139,1884,1732,38,43,80,73,32,4,92,77,7333,7213,1947,1784,61,60,90,85,33,5,8328,8355,6314,6508,1832,1693,18,19,71,69,9,1,84,65,6395,6570,1889,1739,38,34,80,76,10,2,1044,713,932,631,52,39,20,24,9,4,23,3,8,12,938,643,58,45,23,26,10,9,23,3
Appomattox County,50,51,11,4,0,15003,7280,7723,5700,5992,1417,1572,21,17,21,22,1,4,120,116,5816,6102,1500,1653,49,46,34,38,3,6,7193,7636,5633,5912,1411,1568,13,15,20,22,1,4,115,115,5744,6021,1491,1649,39,44,32,37,3,6,87,87,67,80,6,4,8,2,1,0,0,0,5,1,72,81,9,4,10,2,2,1,0,0
Aransas County,50,48,7,4,0,23325,11548,11777,10781,11033,207,164,111,131,235,258,15,9,199,182,10971,11197,265,223,233,242,263,284,21,17,8556,8823,7971,8253,165,127,59,67,219,243,5,4,137,129,8100,8370,202,168,145,146,242,261,10,10,2992,2954,2810,2780,42,37,52,64,16,15,10,5,62,53,2871,2827,63,55,88,96,21,23,11,7
Arapahoe County,50,8,5,4,0,586033,287408,298625,228240,235973,31040,31189,3173,3250,14236,16980,683,696,10036,10537,237107,245316,36132,36470,6183,6550,17818,20707,1288,1354,232621,244875,180578,189687,28807,28632,1155,1298,13696,16442,514,549,7871,8267,187538,197015,32876,32885,3127,3479,16732,19607,995,1051,54787,53750,47662,46286,2233,2557,2018,1952,540,538,169,147,2165,2270,49569,48301,3256,3585,3056,3071,1086,1100,293,303
Archer County,50,48,9,4,0,8836,4458,4378,4307,4219,41,31,44,51,9,15,2,1,55,61,4360,4276,60,53,74,80,16,29,3,3,4085,4085,3980,3959,30,21,20,34,9,14,2,1,44,56,4022,4012,45,39,44,63,15,26,3,3,373,293,327,260,11,10,24,17,0,1,0,0,11,5,338,264,15,14,30,17,1,3,0,0
Archuleta County,50,8,7,4,0,12010,6068,5942,5696,5536,29,13,170,183,52,70,4,6,117,134,5808,5662,65,42,236,259,72,101,9,14,4949,4864,4719,4612,24,10,84,88,34,57,4,3,84,94,4798,4698,50,33,129,140,51,80,8,9,1119,1078,977,924,5,3,86,95,18,13,0,3,33,40,1010,964,15,9,107,119,21,21,1,5
Arenac County,50,26,11,4,0,15620,7949,7671,7710,7428,26,15,82,107,9,27,5,5,117,89,7822,7513,65,42,149,155,26,44,10,7,7811,7552,7587,7324,26,14,74,105,9,27,5,5,110,77,7692,7397,62,39,137,144,26,42,9,7,138,119,123,104,0,1,8,2,0,0,0,0,7,12,130,116,3,3,12,11,0,2,1,0
Arkansas County,50,5,1,4,0,18883,9153,9730,6747,7036,2218,2472,30,26,51,60,1,1,106,135,6849,7165,2281,2548,70,78,60,73,3,6,8812,9522,6463,6860,2173,2448,21,24,51,60,1,1,103,129,6562,6983,2236,2523,58,71,60,72,3,6,341,208,284,176,45,24,9,2,0,0,0,0,3,6,287,182,45,25,12,7,0,1,0,0
Arlington County,50,51,13,4,0,216544,108118,108426,84907,82808,9169,9913,910,811,9760,11551,151,131,3221,3212,87875,85711,10129,10936,1741,1704,11662,13391,325,296,91177,92348,70048,68700,8639,9350,204,213,9585,11379,87,76,2614,2630,72455,71081,9364,10149,736,816,11262,13013,216,203,16941,16078,14859,14108,530,563,706,598,175,172,64,55,607,582,15420,14630,765,787,1005,888,400,378,109,93
Armstrong County,100,90,16,8,0,70592,34902,35690,34195,35030,342,248,37,39,57,112,4,5,267,256,34454,35268,479,384,128,125,99,160,14,14,34648,35420,33976,34793,333,240,31,29,55,106,3,5,250,247,34219,35024,460,370,114,112,97,152,12,14,254,270,219,237,9,8,6,10,2,6,1,0,17,9,235,244,19,14,14,13,2,8,2,0
Aroostook County,50,23,3,4,0,71335,35161,36174,33668,34598,310,216,583,661,129,209,9,11,462,479,34122,35066,410,321,898,990,188,271,19,23,34743,35854,33327,34341,290,204,563,637,129,206,8,11,426,455,33747,34786,377,300,858,950,181,264,15,18,418,320,341,257,20,12,20,24,0,3,1,0,36,24,375,280,33,21,40,40,7,7,4,5
Arthur County,50,31,5,4,0,469,230,239,226,230,0,0,1,1,0,1,0,0,3,7,229,237,1,3,1,5,2,2,0,1,220,231,218,227,0,0,1,1,0,1,0,0,1,2,219,229,0,2,1,1,1,1,0,0,10,8,8,3,0,0,0,0,0,0,0,0,2,5,10,8,1,1,0,4,1,1,0,1
Ascension Parish,50,22,5,4,0,110062,54265,55797,41161,41246,11680,13111,211,195,585,595,49,48,579,602,41682,41767,12007,13445,408,419,709,732,75,91,51392,53413,38580,39127,11541,12978,149,157,553,574,38,35,531,542,39060,39596,11847,13279,319,353,668,698,62,74,2873,2384,2581,2119,139,133,62,38,32,21,11,13,48,60,2622,2171,160,166,89,66,41,34,13,17
Ashe County,50,37,9,4,0,27172,13409,13763,13064,13451,115,84,38,34,51,65,10,2,131,127,13190,13568,166,140,116,96,60,82,11,8,12539,13323,12271,13045,80,68,24,26,49,65,4,1,111,118,12377,13153,122,121,90,85,58,80,5,6,870,440,793,406,35,16,14,8,2,0,6,1,20,9,813,415,44,19,26,11,2,2,6,2
Ashland County,100,94,8,8,0,69367,34133,35234,32258,33277,267,215,943,967,140,202,28,20,497,553,32734,33802,436,386,1227,1301,219,285,41,34,33698,34794,31919,32943,266,211,866,902,140,200,27,17,480,521,32381,33440,426,372,1137,1217,218,276,40,30,435,440,339,334,1,4,77,65,0,2,1,3,17,32,353,362,10,14,90,84,1,9,1,4
Ashley County,50,5,3,4,0,21651,10472,11179,7687,7915,2569,3045,71,66,21,33,11,4,113,116,7794,8022,2620,3085,126,127,38,57,18,10,9891,10718,7231,7544,2531,3014,21,36,17,30,1,1,90,93,7316,7630,2572,3048,61,80,31,49,6,5,581,461,456,371,38,31,50,30,4,3,10,3,23,23,478,392,48,37,65,47,7,8,12,5
