CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Abbeville County,50,45,1,4,0,25105,12199,12906,8687,8909,3303,3769,28,37,40,52,1,4,140,135,8817,9034,3385,3855,78,80,57,68,8,9,12049,12780,8563,8808,3287,3745,26,36,40,52,1,4,132,135,8686,8933,3365,3831,72,79,55,68,8,9,150,126,124,101,16,24,2,1,0,0,0,0,8,0,131,101,20,24,6,1,2,0,0,0
Acadia Parish,50,22,1,4,0,61763,30026,31737,24111,25276,5368,5909,111,82,66,99,3,3,367,368,24454,25620,5642,6169,195,176,100,138,17,11,29356,31294,23530,24904,5324,5871,100,77,66,99,3,2,333,341,23844,25223,5578,6117,169,157,92,134,15,10,670,443,581,372,44,38,11,5,0,0,0,1,34,27,610,397,64,52,26,19,8,4,2,1
Accomack County,50,51,1,4,0,33287,16243,17044,11377,11530,4370,5055,115,96,84,95,33,24,264,244,11626,11749,4512,5187,227,203,122,133,39,29,14616,15739,9901,10369,4312,4997,59,46,79,90,24,15,241,222,10127,10569,4442,5120,159,141,114,122,30,20,1627,1305,1476,1161,58,58,56,50,5,5,9,9,23,22,1499,1180,70,67,68,62,8,11,9,9
Ada County,50,16,1,4,0,401088,200961,200127,186278,185740,2830,1955,1712,1575,4683,5399,446,392,5012,5066,190980,190527,4011,3145,3511,3339,6960,7712,950,891,185939,185933,173022,173278,2617,1767,1095,1017,4524,5246,407,361,4274,4264,177088,177367,3618,2747,2405,2289,6609,7340,824,781,15022,14194,13256,12462,213,188,617,558,159,153,39,31,738,802,13892,13160,393,398,1106,1050,351,372,126,110
Adair County,200,109,4,16,0,74407,36499,37908,28970,30418,569,465,5059,5143,366,375,12,26,1523,1481,30462,31867,794,676,6302,6354,469,480,33,43,35308,36842,28265,29742,551,438,4685,4864,363,372,10,21,1434,1405,29676,31122,745,622,5871,6013,457,470,27,37,1191,1066,705,676,18,27,374,279,3,3,2,5,89,76,786,745,49,54,431,341,12,10,6,6
Adams County,600,364,16,48,0,797671,399345,398326,355372,354669,19681,18842,6117,5675,9529,10305,542,552,8104,8283,362815,362290,22839,22027,9688,9400,11732,12545,1006,1007,295967,302472,261756,268094,17685,17053,1853,1786,8806,9561,312,339,5555,5639,266902,273332,20143,19539,3581,3604,10598,11357,614,639,103378,95854,93616,86575,1996,1789,4264,3889,723,744,230,213,2549,2644,95913,88958,2696,2488,6107,5796,1134,1188,392,368
Addison County,50,50,1,4,0,36873,18357,18516,17552,17679,200,131,49,45,261,318,2,3,293,340,17836,18007,296,236,168,176,363,451,17,16,17973,18224,17234,17427,185,121,36,42,250,316,2,2,266,316,17495,17732,266,209,140,161,343,445,15,15,384,292,318,252,15,10,13,3,11,2,0,1,27,24,341,275,30,27,28,15,20,6,2,1
Aiken County,50,45,3,4,0,161816,78491,83325,57313,59257,18697,21276,427,436,631,828,44,49,1379,1479,58568,60578,19414,22059,1008,1062,886,1102,89,104,74004,79630,53536,56180,18367,20961,292,317,594,790,29,31,1186,1351,54620,57394,18991,21684,771,877,816,1036,63,78,4487,3695,3777,3077,330,315,135,119,37,38,15,18,193,128,3948,3184,423,375,237,185,70,66,26,26
Aitkin County,50,27,1,4,0,16105,8160,7945,7812,7580,38,29,203,200,9,20,0,3,98,113,7907,7685,74,73,250,259,30,41,2,4,8067,7868,7742,7526,32,23,195,189,9,20,0,3,89,107,7828,7626,65,65,236,245,29,39,2,4,93,77,70,54,6,6,8,11,0,0,0,0,9,6,79,59,9,8,14,14,1,2,0,0
Alachua County,50,12,1,4,0,249688,120826,128862,86735,90762,23862,27421,440,410,6802,7110,101,84,2886,3075,89341,93498,25289,29012,1090,1105,7932,8307,250,246,110478,117809,77627,81020,23257,26789,301,295,6716,6958,80,73,2497,2674,79878,83397,24437,28103,833,880,7780,8073,201,206,10348,11053,9108,9742,605,632,139,115,86,152,21,11,389,401,9463,10101,852,909,257,225,152,234,49,40
